  _id , _uuid ,datetime,just_booted, reset_reason,uptime,fw_version,modem_fw_version,rsrp
199031,359746167128144,2025-08-13 03:12:14.078218,t,16,207383486,v0.0.3-35-g0b0b003d-dirty,mfw_nrf9160_1.3.5,−83
199030,359746167128144,2025-08-13 03:09:36.620109,t,16,207226081,v0.0.3-35-g0b0b003d-dirty,mfw_nrf9160_1.3.5,−84
199026,359746167128144,2025-08-13 02:59:37.255406,t,16,206626693,v0.0.3-35-g0b0b003d-dirty,mfw_nrf9160_1.3.5,−83
199017,359746167128144,2025-08-13 02:30:16.284450,t,16,204865694,v0.0.3-35-g0b0b003d-dirty,mfw_nrf9160_1.3.5,−77
199012,359746167128144,2025-08-13 02:16:02.626097,t,16,204011956,v0.0.3-35-g0b0b003d-dirty,mfw_nrf9160_1.3.5,−77
199010,359746167128144,2025-08-13 02:09:08.568434,t,16,203597868,v0.0.3-35-g0b0b003d-dirty,mfw_nrf9160_1.3.5,−83
199009,359746167128144,2025-08-13 02:03:49.820680,t,16,203279118,v0.0.3-35-g0b0b003d-dirty,mfw_nrf9160_1.3.5,−78
198992,359746167128144,2025-08-13 01:17:24.443099,t,16,200493723,v0.0.3-35-g0b0b003d-dirty,mfw_nrf9160_1.3.5,−78
198990,359746167128144,2025-08-13 01:15:09.505830,t,16,200358715,v0.0.3-35-g0b0b003d-dirty,mfw_nrf9160_1.3.5,−78
198986,359746167128144,2025-08-13 01:10:31.744813,t,16,200080949,v0.0.3-35-g0b0b003d-dirty,mfw_nrf9160_1.3.5,−77
198975,359746167128144,2025-08-13 00:43:51.084766,t,16,198480322,v0.0.3-35-g0b0b003d-dirty,mfw_nrf9160_1.3.5,−77
198971,359746167128144,2025-08-13 00:40:16.548105,t,16,198265695,v0.0.3-35-g0b0b003d-dirty,mfw_nrf9160_1.3.5,−78
198967,359746167128144,2025-08-13 00:26:39.639165,t,16,197448834,v0.0.3-35-g0b0b003d-dirty,mfw_nrf9160_1.3.5,−78
198965,359746167128144,2025-08-13 00:23:01.730314,t,16,197230920,v0.0.3-35-g0b0b003d-dirty,mfw_nrf9160_1.3.5,−78
198964,359746167128144,2025-08-13 00:18:25.882998,t,16,196955068,v0.0.3-35-g0b0b003d-dirty,mfw_nrf9160_1.3.5,−77
198963,359746167128144,2025-08-13 00:15:09.887104,t,16,196759076,v0.0.3-35-g0b0b003d-dirty,mfw_nrf9160_1.3.5,−77
198962,359746167128144,2025-08-13 00:05:32.606340,t,16,196181781,v0.0.3-35-g0b0b003d-dirty,mfw_nrf9160_1.3.5,−77
198949,359746167128144,2025-08-12 23:12:44.390772,t,16,193013397,v0.0.3-35-g0b0b003d-dirty,mfw_nrf9160_1.3.5,−78
198947,359746167128144,2025-08-12 23:10:07.811064,t,16,192856877,v0.0.3-35-g0b0b003d-dirty,mfw_nrf9160_1.3.5,−77
198946,359746167128144,2025-08-12 23:08:51.475351,t,16,192780545,v0.0.3-35-g0b0b003d-dirty,mfw_nrf9160_1.3.5,−77
198941,359746167128144,2025-08-12 22:55:11.580004,t,16,191960563,v0.0.3-35-g0b0b003d-dirty,mfw_nrf9160_1.3.5,−80
198939,359746167128144,2025-08-12 22:42:11.964065,t,16,191180986,v0.0.3-35-g0b0b003d-dirty,mfw_nrf9160_1.3.5,−78
198936,359746167128144,2025-08-12 22:38:35.487181,t,16,190964502,v0.0.3-35-g0b0b003d-dirty,mfw_nrf9160_1.3.5,−77
198935,359746167128144,2025-08-12 22:36:19.250942,t,16,190828257,v0.0.3-35-g0b0b003d-dirty,mfw_nrf9160_1.3.5,−77
198933,359746167128144,2025-08-12 22:34:03.641784,t,16,190692651,v0.0.3-35-g0b0b003d-dirty,mfw_nrf9160_1.3.5,−77
198925,359746167128144,2025-08-12 22:19:44.952259,t,16,189833869,v0.0.3-35-g0b0b003d-dirty,mfw_nrf9160_1.3.5,−78
198924,359746167128144,2025-08-12 22:16:47.406782,t,16,189656400,v0.0.3-35-g0b0b003d-dirty,mfw_nrf9160_1.3.5,−77
198919,359746167128144,2025-08-12 22:07:11.965516,t,16,189080943,v0.0.3-35-g0b0b003d-dirty,mfw_nrf9160_1.3.5,−78
198902,359746167128144,2025-08-12 21:31:49.082018,t,16,186957996,v0.0.3-35-g0b0b003d-dirty,mfw_nrf9160_1.3.5,−77
198899,359746167128144,2025-08-12 21:24:33.987219,t,16,186522814,v0.0.3-35-g0b0b003d-dirty,mfw_nrf9160_1.3.5,−78
198897,359746167128144,2025-08-12 21:20:58.673690,t,16,186307566,v0.0.3-35-g0b0b003d-dirty,mfw_nrf9160_1.3.5,−78
198892,359746167128144,2025-08-12 21:14:43.420308,t,16,185932237,v0.0.3-35-g0b0b003d-dirty,mfw_nrf9160_1.3.5,−77
198888,359746167128144,2025-08-12 21:09:06.526524,t,16,185595392,v0.0.3-35-g0b0b003d-dirty,mfw_nrf9160_1.3.5,−77
198870,359746167128144,2025-08-12 20:33:21.495784,t,16,183450236,v0.0.3-35-g0b0b003d-dirty,mfw_nrf9160_1.3.5,−77
198864,359746167128144,2025-08-12 20:24:43.962227,t,16,182932776,v0.0.3-35-g0b0b003d-dirty,mfw_nrf9160_1.3.5,−77
198861,359746167128144,2025-08-12 20:18:29.250251,t,16,182558044,v0.0.3-35-g0b0b003d-dirty,mfw_nrf9160_1.3.5,−77
198855,359746167128144,2025-08-12 20:04:09.188956,t,16,181697891,v0.0.3-35-g0b0b003d-dirty,mfw_nrf9160_1.3.5,−77
198851,359746167128144,2025-08-12 19:58:10.684383,t,16,181339440,v0.0.3-35-g0b0b003d-dirty,mfw_nrf9160_1.3.5,−78
198848,359746167128144,2025-08-12 19:52:13.653551,t,16,180982329,v0.0.3-35-g0b0b003d-dirty,mfw_nrf9160_1.3.5,−77
198839,359746167128144,2025-08-12 19:34:31.163586,t,16,179919876,v0.0.3-35-g0b0b003d-dirty,mfw_nrf9160_1.3.5,−77
198838,359746167128144,2025-08-12 19:32:56.764110,t,16,179825469,v0.0.3-35-g0b0b003d-dirty,mfw_nrf9160_1.3.5,−78
198827,359746167128144,2025-08-12 19:18:27.755111,t,16,178956387,v0.0.3-35-g0b0b003d-dirty,mfw_nrf9160_1.3.5,−77
198822,359746167128144,2025-08-12 18:59:07.754083,t,16,177796383,v0.0.3-35-g0b0b003d-dirty,mfw_nrf9160_1.3.5,−78
198813,359746167128144,2025-08-12 18:38:27.969274,t,16,176556607,v0.0.3-35-g0b0b003d-dirty,mfw_nrf9160_1.3.5,−77
198812,359746167128144,2025-08-12 18:32:11.274444,t,16,176179842,v0.0.3-35-g0b0b003d-dirty,mfw_nrf9160_1.3.5,−77
198811,359746167128144,2025-08-12 18:30:37.830870,t,16,176086384,v0.0.3-35-g0b0b003d-dirty,mfw_nrf9160_1.3.5,−77
198809,359746167128144,2025-08-12 18:25:21.509518,t,16,175770064,v0.0.3-35-g0b0b003d-dirty,mfw_nrf9160_1.3.5,−78
198803,359746167128144,2025-08-12 18:18:41.832666,t,16,175370362,v0.0.3-35-g0b0b003d-dirty,mfw_nrf9160_1.3.5,−77
198790,359746167128144,2025-08-12 18:01:02.530864,t,16,174311096,v0.0.3-35-g0b0b003d-dirty,mfw_nrf9160_1.3.5,−78
198789,359746167128144,2025-08-12 17:59:08.688490,t,16,174197198,v0.0.3-35-g0b0b003d-dirty,mfw_nrf9160_1.3.5,−77
198787,359746167128144,2025-08-12 17:57:33.352876,t,16,174101855,v0.0.3-35-g0b0b003d-dirty,mfw_nrf9160_1.3.5,−83
198778,359746167128144,2025-08-12 17:37:58.203901,t,16,172926747,v0.0.3-35-g0b0b003d-dirty,mfw_nrf9160_1.3.5,−78
198770,359746167128144,2025-08-12 17:26:21.660973,t,16,172230182,v0.0.3-35-g0b0b003d-dirty,mfw_nrf9160_1.3.5,−82
198765,359746167128144,2025-08-12 17:18:45.669887,t,16,171774126,v0.0.3-35-g0b0b003d-dirty,mfw_nrf9160_1.3.5,−78
198758,359746167128144,2025-08-12 17:08:49.027829,t,16,171177466,v0.0.3-35-g0b0b003d-dirty,mfw_nrf9160_1.3.5,−78
198751,359746167128144,2025-08-12 16:55:49.081835,t,16,170397575,v0.0.3-35-g0b0b003d-dirty,mfw_nrf9160_1.3.5,−78
198739,359746167128144,2025-08-12 16:33:52.711168,t,16,169081106,v0.0.3-35-g0b0b003d-dirty,mfw_nrf9160_1.3.5,−78
198737,359746167128144,2025-08-12 16:30:34.150282,t,16,168882536,v0.0.3-35-g0b0b003d-dirty,mfw_nrf9160_1.3.5,−78
198735,359746167128144,2025-08-12 16:29:18.843646,t,16,168807289,v0.0.3-35-g0b0b003d-dirty,mfw_nrf9160_1.3.5,−78
198724,359746167128144,2025-08-12 15:58:33.750650,t,16,166962072,v0.0.3-35-g0b0b003d-dirty,mfw_nrf9160_1.3.5,−84
198718,359746167128144,2025-08-12 15:37:12.712031,t,16,165681020,v0.0.3-35-g0b0b003d-dirty,mfw_nrf9160_1.3.5,−78
198717,359746167128144,2025-08-12 15:33:17.565797,t,16,165445928,v0.0.3-35-g0b0b003d-dirty,mfw_nrf9160_1.3.5,−79
198701,359746167128144,2025-08-12 14:57:55.006102,t,16,163323316,v0.0.3-35-g0b0b003d-dirty,mfw_nrf9160_1.3.5,−78
198698,359746167128144,2025-08-12 14:52:41.111469,t,16,163009337,v0.0.3-35-g0b0b003d-dirty,mfw_nrf9160_1.3.5,−78
198695,359746167128144,2025-08-12 14:43:41.247648,t,16,162469529,v0.0.3-35-g0b0b003d-dirty,mfw_nrf9160_1.3.5,−79
198692,359746167128144,2025-08-12 14:39:24.382809,t,16,162212632,v0.0.3-35-g0b0b003d-dirty,mfw_nrf9160_1.3.5,−81
198686,359746167128144,2025-08-12 14:32:25.194972,t,16,161793401,v0.0.3-35-g0b0b003d-dirty,mfw_nrf9160_1.3.5,−78
198682,359746167128144,2025-08-12 14:27:08.495114,t,16,161476674,v0.0.3-35-g0b0b003d-dirty,mfw_nrf9160_1.3.5,−78
198677,359746167128144,2025-08-12 14:16:09.842543,t,16,160818030,v0.0.3-35-g0b0b003d-dirty,mfw_nrf9160_1.3.5,−79
198675,359746167128144,2025-08-12 14:13:33.205436,t,16,160661358,v0.0.3-35-g0b0b003d-dirty,mfw_nrf9160_1.3.5,−78
198672,359746167128144,2025-08-12 14:08:38.641281,t,16,160366813,v0.0.3-35-g0b0b003d-dirty,mfw_nrf9160_1.3.5,−83
198665,359746167128144,2025-08-12 13:46:19.202258,t,16,159027336,v0.0.3-35-g0b0b003d-dirty,mfw_nrf9160_1.3.5,−83
198664,359746167128144,2025-08-12 13:43:03.073481,t,16,158831240,v0.0.3-35-g0b0b003d-dirty,mfw_nrf9160_1.3.5,−83
198661,359746167128144,2025-08-12 13:38:26.621663,t,16,158554790,v0.0.3-35-g0b0b003d-dirty,mfw_nrf9160_1.3.5,−84
198652,359746167128144,2025-08-12 13:22:45.832224,t,16,157613931,v0.0.3-35-g0b0b003d-dirty,mfw_nrf9160_1.3.5,−84
198641,359746167128144,2025-08-12 13:00:04.405413,t,16,156252452,v0.0.3-35-g0b0b003d-dirty,mfw_nrf9160_1.3.5,−81
198640,359746167128144,2025-08-12 12:56:10.124468,t,16,156018189,v0.0.3-35-g0b0b003d-dirty,mfw_nrf9160_1.3.5,−84
198634,359746167128144,2025-08-12 12:32:50.389838,t,16,154618410,v0.0.3-35-g0b0b003d-dirty,mfw_nrf9160_1.3.5,−82
198622,359746167128144,2025-08-12 12:14:50.687989,t,16,153538709,v0.0.3-35-g0b0b003d-dirty,mfw_nrf9160_1.3.5,−84
198615,359746167128144,2025-08-12 12:02:51.482118,t,16,152819476,v0.0.3-35-g0b0b003d-dirty,mfw_nrf9160_1.3.5,−83
198604,359746167128144,2025-08-12 11:40:51.835592,t,16,151499784,v0.0.3-35-g0b0b003d-dirty,mfw_nrf9160_1.3.5,−80
198600,359746167128144,2025-08-12 11:34:39.750017,t,16,151127701,v0.0.3-35-g0b0b003d-dirty,mfw_nrf9160_1.3.5,−79
198594,359746167128144,2025-08-12 11:27:02.044645,t,16,150669999,v0.0.3-35-g0b0b003d-dirty,mfw_nrf9160_1.3.5,−82
198592,359746167128144,2025-08-12 11:12:23.350131,t,16,149791262,v0.0.3-35-g0b0b003d-dirty,mfw_nrf9160_1.3.5,−79
198567,359746167128144,2025-08-12 10:29:15.753037,t,16,147203635,v0.0.3-35-g0b0b003d-dirty,mfw_nrf9160_1.3.5,−80
198565,359746167128144,2025-08-12 10:27:40.113690,t,16,147107953,v0.0.3-35-g0b0b003d-dirty,mfw_nrf9160_1.3.5,−80
198549,359746167128144,2025-08-12 10:07:41.995948,t,16,145909833,v0.0.3-35-g0b0b003d-dirty,mfw_nrf9160_1.3.5,−80
198532,359746167128144,2025-08-12 09:45:20.387776,t,16,144568189,v0.0.3-35-g0b0b003d-dirty,mfw_nrf9160_1.3.5,−80
198530,359746167128144,2025-08-12 09:41:41.802565,t,16,144349663,v0.0.3-35-g0b0b003d-dirty,mfw_nrf9160_1.3.5,−79
198527,359746167128144,2025-08-12 09:39:04.219011,t,16,144192008,v0.0.3-35-g0b0b003d-dirty,mfw_nrf9160_1.3.5,−80
198508,359746167128144,2025-08-12 08:43:15.651061,t,16,140843412,v0.0.3-35-g0b0b003d-dirty,mfw_nrf9160_1.3.5,−80
198505,359746167128144,2025-08-12 08:40:56.931547,t,16,140704679,v0.0.3-35-g0b0b003d-dirty,mfw_nrf9160_1.3.5,−81
198491,359746167128144,2025-08-12 08:11:33.741227,t,16,138941444,v0.0.3-35-g0b0b003d-dirty,mfw_nrf9160_1.3.5,−80
198489,359746167128144,2025-08-12 08:07:18.530809,t,16,138686230,v0.0.3-35-g0b0b003d-dirty,mfw_nrf9160_1.3.5,−82
198482,359746167128144,2025-08-12 07:58:41.730117,t,16,138169313,v0.0.3-35-g0b0b003d-dirty,mfw_nrf9160_1.3.5,−80
198479,359746167128144,2025-08-12 07:51:43.432296,t,16,137751030,v0.0.3-35-g0b0b003d-dirty,mfw_nrf9160_1.3.5,−81
198473,359746167128144,2025-08-12 07:44:27.498332,t,16,137315164,v0.0.3-35-g0b0b003d-dirty,mfw_nrf9160_1.3.5,−80
198472,359746167128144,2025-08-12 07:38:31.251078,t,16,136958864,v0.0.3-35-g0b0b003d-dirty,mfw_nrf9160_1.3.5,−81
198469,359746167128144,2025-08-12 07:35:33.571683,t,16,136781227,v0.0.3-35-g0b0b003d-dirty,mfw_nrf9160_1.3.5,−80
198466,359746167128144,2025-08-12 07:26:18.001661,t,16,136225566,v0.0.3-35-g0b0b003d-dirty,mfw_nrf9160_1.3.5,−80
198464,359746167128144,2025-08-12 07:23:42.468699,t,16,136070032,v0.0.3-35-g0b0b003d-dirty,mfw_nrf9160_1.3.5,−80
198458,359746167128144,2025-08-12 07:17:46.298121,t,16,135713923,v0.0.3-35-g0b0b003d-dirty,mfw_nrf9160_1.3.5,−79
198457,359746167128144,2025-08-12 07:16:30.451233,t,16,135638091,v0.0.3-35-g0b0b003d-dirty,mfw_nrf9160_1.3.5,−80
198444,359746167128144,2025-08-12 07:01:30.139337,t,16,134737656,v0.0.3-35-g0b0b003d-dirty,mfw_nrf9160_1.3.5,−79
198433,359746167128144,2025-08-12 06:36:47.727189,t,16,133255285,v0.0.3-35-g0b0b003d-dirty,mfw_nrf9160_1.3.5,−80
198431,359746167128144,2025-08-12 06:27:28.764123,t,16,132696308,v0.0.3-35-g0b0b003d-dirty,mfw_nrf9160_1.3.5,−80
198420,359746167128144,2025-08-12 06:00:06.201388,t,16,131053711,v0.0.3-35-g0b0b003d-dirty,mfw_nrf9160_1.3.5,−80
198412,359746167128144,2025-08-12 05:50:08.292224,t,16,130455714,v0.0.3-35-g0b0b003d-dirty,mfw_nrf9160_1.3.5,−80
198399,359746167128144,2025-08-12 05:22:05.833397,t,16,128773199,v0.0.3-35-g0b0b003d-dirty,mfw_nrf9160_1.3.5,−80
198388,359746167128144,2025-08-12 04:47:22.950042,t,16,126690264,v0.0.3-35-g0b0b003d-dirty,mfw_nrf9160_1.3.5,−80
198378,359746167128144,2025-08-12 04:28:01.559942,t,16,125528911,v0.0.3-35-g0b0b003d-dirty,mfw_nrf9160_1.3.5,−79
198376,359746167128144,2025-08-12 04:22:44.301458,t,16,125211575,v0.0.3-35-g0b0b003d-dirty,mfw_nrf9160_1.3.5,−79
198368,359746167128144,2025-08-12 04:04:26.058891,t,16,124113351,v0.0.3-35-g0b0b003d-dirty,mfw_nrf9160_1.3.5,−81
198367,359746167128144,2025-08-12 04:01:49.892717,t,16,123957200,v0.0.3-35-g0b0b003d-dirty,mfw_nrf9160_1.3.5,−80
198355,359746167128144,2025-08-12 03:31:27.724111,t,16,122134969,v0.0.3-35-g0b0b003d-dirty,mfw_nrf9160_1.3.5,−79
198342,359746167128144,2025-08-12 02:58:05.185104,t,16,120132323,v0.0.3-35-g0b0b003d-dirty,mfw_nrf9160_1.3.5,−78
198337,359746167128144,2025-08-12 02:48:53.248745,t,16,119580423,v0.0.3-35-g0b0b003d-dirty,mfw_nrf9160_1.3.5,−77
198329,359746167128144,2025-08-12 02:28:49.677768,t,16,118376759,v0.0.3-35-g0b0b003d-dirty,mfw_nrf9160_1.3.5,−83
198328,359746167128144,2025-08-12 02:27:56.067685,t,16,118323158,v0.0.3-35-g0b0b003d-dirty,mfw_nrf9160_1.3.5,−77
198324,359746167128144,2025-08-12 02:20:23.646740,t,16,117870783,v0.0.3-35-g0b0b003d-dirty,mfw_nrf9160_1.3.5,−78
198316,359746167128144,2025-08-12 01:55:22.852401,t,16,116369953,v0.0.3-35-g0b0b003d-dirty,mfw_nrf9160_1.3.5,−84
198303,359746167128144,2025-08-12 01:18:59.107452,t,16,114186073,v0.0.3-35-g0b0b003d-dirty,mfw_nrf9160_1.3.5,−78
198301,359746167128144,2025-08-12 01:15:24.543427,t,16,113971514,v0.0.3-35-g0b0b003d-dirty,mfw_nrf9160_1.3.5,−78
198290,359746167128144,2025-08-12 00:53:42.845942,t,16,112669849,v0.0.3-35-g0b0b003d-dirty,mfw_nrf9160_1.3.5,−78
198286,359746167128144,2025-08-12 00:38:05.750606,t,16,111732647,v0.0.3-35-g0b0b003d-dirty,mfw_nrf9160_1.3.5,−78
198278,359746167128144,2025-08-12 00:22:28.544578,t,16,110795434,v0.0.3-35-g0b0b003d-dirty,mfw_nrf9160_1.3.5,−78
198275,359746167128144,2025-08-12 00:18:11.640280,t,16,110538575,v0.0.3-35-g0b0b003d-dirty,mfw_nrf9160_1.3.5,−78
198274,359746167128144,2025-08-12 00:16:35.664809,t,16,110442536,v0.0.3-35-g0b0b003d-dirty,mfw_nrf9160_1.3.5,−78
198272,359746167128144,2025-08-12 00:12:40.048814,t,16,110206967,v0.0.3-35-g0b0b003d-dirty,mfw_nrf9160_1.3.5,−77
198266,359746167128144,2025-08-11 23:52:37.966464,t,16,109004853,v0.0.3-35-g0b0b003d-dirty,mfw_nrf9160_1.3.5,−78
198245,359746167128144,2025-08-11 22:35:44.115962,t,16,104390833,v0.0.3-35-g0b0b003d-dirty,mfw_nrf9160_1.3.5,−78
198241,359746167128144,2025-08-11 22:27:27.582696,t,16,103894283,v0.0.3-35-g0b0b003d-dirty,mfw_nrf9160_1.3.5,−78
198238,359746167128144,2025-08-11 22:23:52.129784,t,16,103678876,v0.0.3-35-g0b0b003d-dirty,mfw_nrf9160_1.3.5,−78
198232,359746167128144,2025-08-11 22:10:32.290272,t,16,102879029,v0.0.3-35-g0b0b003d-dirty,mfw_nrf9160_1.3.5,−78
198216,359746167128144,2025-08-11 21:25:48.932200,t,16,100195587,v0.0.3-35-g0b0b003d-dirty,mfw_nrf9160_1.3.5,−78
198214,359746167128144,2025-08-11 21:14:11.004013,t,16,99497645,v0.0.3-35-g0b0b003d-dirty,mfw_nrf9160_1.3.5,−78
198200,359746167128144,2025-08-11 20:35:39.590759,t,16,97186106,v0.0.3-35-g0b0b003d-dirty,mfw_nrf9160_1.3.5,−77
198199,359746167128144,2025-08-11 20:31:03.815015,t,16,96910380,v0.0.3-35-g0b0b003d-dirty,mfw_nrf9160_1.3.5,−78
198192,359746167128144,2025-08-11 20:18:46.448353,t,16,96172997,v0.0.3-35-g0b0b003d-dirty,mfw_nrf9160_1.3.5,−77
198180,359746167128144,2025-08-11 19:50:25.002974,t,16,94471502,v0.0.3-35-g0b0b003d-dirty,mfw_nrf9160_1.3.5,−78
198175,359746167128144,2025-08-11 19:41:44.628595,t,16,93951028,v0.0.3-35-g0b0b003d-dirty,mfw_nrf9160_1.3.5,−78
198168,359746167128144,2025-08-11 19:27:02.925216,t,16,93069383,v0.0.3-35-g0b0b003d-dirty,mfw_nrf9160_1.3.5,−78
198162,359746167128144,2025-08-11 19:10:02.143003,t,16,92048526,v0.0.3-35-g0b0b003d-dirty,mfw_nrf9160_1.3.5,−77
198159,359746167128144,2025-08-11 19:04:26.536629,t,16,91712957,v0.0.3-35-g0b0b003d-dirty,mfw_nrf9160_1.3.5,−78
198137,359746167128144,2025-08-11 18:12:39.810779,t,16,88606144,v0.0.3-35-g0b0b003d-dirty,mfw_nrf9160_1.3.5,−78
198124,359746167128144,2025-08-11 17:49:19.911363,t,16,87206160,v0.0.3-35-g0b0b003d-dirty,mfw_nrf9160_1.3.5,−77
198121,359746167128144,2025-08-11 17:42:43.276512,t,16,86809529,v0.0.3-35-g0b0b003d-dirty,mfw_nrf9160_1.3.5,−82
198119,359746167128144,2025-08-11 17:39:05.406173,t,16,86591694,v0.0.3-35-g0b0b003d-dirty,mfw_nrf9160_1.3.5,−77
198116,359746167128144,2025-08-11 17:35:28.770743,t,16,86375059,v0.0.3-35-g0b0b003d-dirty,mfw_nrf9160_1.3.5,−78
198109,359746167128144,2025-08-11 17:21:11.587541,t,16,85517775,v0.0.3-35-g0b0b003d-dirty,mfw_nrf9160_1.3.5,−78
198103,359746167128144,2025-08-11 17:11:13.722797,t,16,84919965,v0.0.3-35-g0b0b003d-dirty,mfw_nrf9160_1.3.5,−77
198101,359746167128144,2025-08-11 17:07:56.476235,t,16,84722644,v0.0.3-35-g0b0b003d-dirty,mfw_nrf9160_1.3.5,−78
198100,359746167128144,2025-08-11 17:05:00.279610,t,16,84546509,v0.0.3-35-g0b0b003d-dirty,mfw_nrf9160_1.3.5,−77
198088,359746167128144,2025-08-11 16:45:40.546981,t,16,83386692,v0.0.3-35-g0b0b003d-dirty,mfw_nrf9160_1.3.5,−77
198086,359746167128144,2025-08-11 16:44:05.510020,t,16,83291649,v0.0.3-35-g0b0b003d-dirty,mfw_nrf9160_1.3.5,−77
198083,359746167128144,2025-08-11 16:40:48.869839,t,16,83095004,v0.0.3-35-g0b0b003d-dirty,mfw_nrf9160_1.3.5,−78
198081,359746167128144,2025-08-11 16:36:11.483391,t,16,82817670,v0.0.3-35-g0b0b003d-dirty,mfw_nrf9160_1.3.5,−78
198069,359746167128144,2025-08-11 16:21:33.986789,t,16,81940101,v0.0.3-35-g0b0b003d-dirty,mfw_nrf9160_1.3.5,−77
198067,359746167128144,2025-08-11 16:15:29.193428,t,16,81575279,v0.0.3-35-g0b0b003d-dirty,mfw_nrf9160_1.3.5,−77
198063,359746167128144,2025-08-11 16:08:57.994503,t,16,81184072,v0.0.3-35-g0b0b003d-dirty,mfw_nrf9160_1.3.5,−77
198055,359746167128144,2025-08-11 15:53:43.316885,t,16,80269446,v0.0.3-35-g0b0b003d-dirty,mfw_nrf9160_1.3.5,−78
198048,359746167128144,2025-08-11 15:47:08.216292,t,16,79874283,v0.0.3-35-g0b0b003d-dirty,mfw_nrf9160_1.3.5,−84
198046,359746167128144,2025-08-11 15:38:28.629952,t,16,79354652,v0.0.3-35-g0b0b003d-dirty,mfw_nrf9160_1.3.5,−84
198044,359746167128144,2025-08-11 15:35:49.220877,t,16,79195265,v0.0.3-35-g0b0b003d-dirty,mfw_nrf9160_1.3.5,−80
198037,359746167128144,2025-08-11 15:27:32.553935,t,16,78698566,v0.0.3-35-g0b0b003d-dirty,mfw_nrf9160_1.3.5,−82
198026,359746167128144,2025-08-11 15:09:30.531062,t,16,77616524,v0.0.3-35-g0b0b003d-dirty,mfw_nrf9160_1.3.5,−79
198022,359746167128144,2025-08-11 15:01:35.098187,t,16,77141102,v0.0.3-35-g0b0b003d-dirty,mfw_nrf9160_1.3.5,−84
198020,359746167128144,2025-08-11 14:58:57.039486,t,16,76983007,v0.0.3-35-g0b0b003d-dirty,mfw_nrf9160_1.3.5,−85
198018,359746167128144,2025-08-11 14:56:41.784575,t,16,76847694,v0.0.3-35-g0b0b003d-dirty,mfw_nrf9160_1.3.5,−83
198017,359746167128144,2025-08-11 14:52:02.048613,t,16,76568076,v0.0.3-35-g0b0b003d-dirty,mfw_nrf9160_1.3.5,−85
198011,359746167128144,2025-08-11 14:46:26.630341,t,16,76232590,v0.0.3-35-g0b0b003d-dirty,mfw_nrf9160_1.3.5,−78
198009,359746167128144,2025-08-11 14:43:08.957772,t,16,76034874,v0.0.3-35-g0b0b003d-dirty,mfw_nrf9160_1.3.5,−85
198003,359746167128144,2025-08-11 14:31:11.810339,t,16,75317771,v0.0.3-35-g0b0b003d-dirty,mfw_nrf9160_1.3.5,−84
198001,359746167128144,2025-08-11 14:26:54.703651,t,16,75060660,v0.0.3-35-g0b0b003d-dirty,mfw_nrf9160_1.3.5,−84
197986,359746167128144,2025-08-11 14:03:12.955132,t,16,73638865,v0.0.3-35-g0b0b003d-dirty,mfw_nrf9160_1.3.5,−84
